state,district,year,residualsodiumcarbonate
Andhra Pradesh,Sri Potti Sriramulu Nellore,2012,0.0
Andhra Pradesh,Sri Potti Sriramulu Nellore,2013,4.5359998
Andhra Pradesh,Sri Potti Sriramulu Nellore,2014,1.013
Andhra Pradesh,Sri Potti Sriramulu Nellore,2015,-13.42
Andhra Pradesh,Sri Potti Sriramulu Nellore,2017,-0.51894742
Andhra Pradesh,Sri Potti Sriramulu Nellore,2018,-4.3424001
Andhra Pradesh,Srikakulam,2000,4.9570003
Andhra Pradesh,Srikakulam,2004,-7.4104347
Andhra Pradesh,Srikakulam,2005,3.05
Andhra Pradesh,Srikakulam,2006,1.755
Andhra Pradesh,Srikakulam,2007,3.3425
Andhra Pradesh,Srikakulam,2008,5.4450002
Andhra Pradesh,Srikakulam,2009,2.7633333
Andhra Pradesh,Srikakulam,2010,2.0680001
Andhra Pradesh,Srikakulam,2011,3.6175001
Andhra Pradesh,Srikakulam,2012,0.0
Andhra Pradesh,Srikakulam,2013,2.7542858
Andhra Pradesh,Srikakulam,2014,-5.6139998
Andhra Pradesh,Srikakulam,2015,-4.3936586
Andhra Pradesh,Srikakulam,2017,-4.2614284
Andhra Pradesh,Srikakulam,2018,-5.3052382
Andhra Pradesh,Visakhapatanam,2000,2.1836364
Andhra Pradesh,Visakhapatanam,2003,2.9342856
Andhra Pradesh,Visakhapatanam,2004,-5.0694447
Andhra Pradesh,Visakhapatanam,2005,2.5999999
Andhra Pradesh,Visakhapatanam,2006,4.2276921
Andhra Pradesh,Visakhapatanam,2007,1.8907692
Andhra Pradesh,Visakhapatanam,2008,4.5816669
Andhra Pradesh,Visakhapatanam,2009,3.2414286
Andhra Pradesh,Visakhapatanam,2010,3.0466666
Andhra Pradesh,Visakhapatanam,2011,3.283077
Andhra Pradesh,Visakhapatanam,2012,0.0
Andhra Pradesh,Visakhapatanam,2013,8.1225004
Andhra Pradesh,Visakhapatanam,2014,-1.3170967
Andhra Pradesh,Visakhapatanam,2015,-3.0588734
Andhra Pradesh,Visakhapatanam,2017,-1.240339
Andhra Pradesh,Visakhapatanam,2018,-1.1766038
Andhra Pradesh,Vizianagaram,2000,0.45466667
Andhra Pradesh,Vizianagaram,2004,-5.25
Andhra Pradesh,Vizianagaram,2005,4.3733335
Andhra Pradesh,Vizianagaram,2006,2.71
Andhra Pradesh,Vizianagaram,2007,3.4039998
Andhra Pradesh,Vizianagaram,2008,3.5999999
Andhra Pradesh,Vizianagaram,2009,3.8399999
Andhra Pradesh,Vizianagaram,2010,3.5266666
Andhra Pradesh,Vizianagaram,2011,2.0474999
Andhra Pradesh,Vizianagaram,2012,0.0
Andhra Pradesh,Vizianagaram,2013,2.6955554
Andhra Pradesh,Vizianagaram,2014,-3.0964103
Andhra Pradesh,Vizianagaram,2015,-4.0136843
Andhra Pradesh,Vizianagaram,2017,-3.6745
Andhra Pradesh,Vizianagaram,2018,-3.4723077
Andhra Pradesh,West Godavari,2000,3.3264999
Andhra Pradesh,West Godavari,2004,-8.1716671
Andhra Pradesh,West Godavari,2005,1.6949999
Andhra Pradesh,West Godavari,2006,1.34
Andhra Pradesh,West Godavari,2007,3.1199999
Andhra Pradesh,West Godavari,2008,2.0333333
Andhra Pradesh,West Godavari,2009,2.8
Andhra Pradesh,West Godavari,2010,4.0466666
Andhra Pradesh,West Godavari,2011,5.0559998
Andhra Pradesh,West Godavari,2012,0.0
Andhra Pradesh,West Godavari,2013,3.9323077
Andhra Pradesh,West Godavari,2014,-4.7439022
Andhra Pradesh,West Godavari,2015,-1.9254546
Andhra Pradesh,West Godavari,2017,-6.184
Andhra Pradesh,West Godavari,2018,-6.8364286
Andhra Pradesh,Y.S.R.,2000,10.189
Andhra Pradesh,Y.S.R.,2004,18.685001
Andhra Pradesh,Y.S.R.,2005,7.6400003
Andhra Pradesh,Y.S.R.,2006,4.8854547
Andhra Pradesh,Y.S.R.,2007,3.9949999
Andhra Pradesh,Y.S.R.,2008,6.4822221
Andhra Pradesh,Y.S.R.,2009,6.5109091
Andhra Pradesh,Y.S.R.,2010,5.25
Andhra Pradesh,Y.S.R.,2011,6.8711109
Andhra Pradesh,Y.S.R.,2012,0.0
Andhra Pradesh,Y.S.R.,2013,7.2633333
Andhra Pradesh,Y.S.R.,2014,-1.2218181
Andhra Pradesh,Y.S.R.,2015,1.0892309
Andhra Pradesh,Y.S.R.,2017,-1.273
Andhra Pradesh,Y.S.R.,2018,-6.3345456
Arunachal Pradesh,Changlang,2007,0.02
Arunachal Pradesh,Changlang,2010,0.36000001
Arunachal Pradesh,Changlang,2013,0.36000001
Arunachal Pradesh,Changlang,2015,-1.64
Arunachal Pradesh,Changlang,2016,0.0
Arunachal Pradesh,Changlang,2018,-2.3303585
Arunachal Pradesh,East Siang,2006,0.0
Arunachal Pradesh,East Siang,2014,-1.3466667
Arunachal Pradesh,East Siang,2015,-0.67333335
Arunachal Pradesh,East Siang,2016,0.0
Arunachal Pradesh,East Siang,2018,-1.368235
Arunachal Pradesh,Lohit,2005,0.14
Arunachal Pradesh,Lohit,2006,0.40000001
Arunachal Pradesh,Lohit,2009,9.7399998
Arunachal Pradesh,Lohit,2013,0.2
Arunachal Pradesh,Lohit,2015,-0.68000001
Arunachal Pradesh,Lohit,2016,0.0
Arunachal Pradesh,Lohit,2018,-0.28631732
Arunachal Pradesh,Lower Subansiri,2016,0.0
Arunachal Pradesh,Papum Pare,2006,0.02
Arunachal Pradesh,Papum Pare,2008,0.68000001
Arunachal Pradesh,Papum Pare,2014,0.22
Arunachal Pradesh,Papum Pare,2015,0.13333334
Arunachal Pradesh,Papum Pare,2016,0.0
Arunachal Pradesh,Papum Pare,2017,-0.22334133
Arunachal Pradesh,Papum Pare,2018,-0.83749801
Arunachal Pradesh,Tirap,2005,0.02
Arunachal Pradesh,Tirap,2007,0.23999999
Arunachal Pradesh,Tirap,2010,0.28
Arunachal Pradesh,Tirap,2013,0.37
Arunachal Pradesh,Tirap,2015,-1.16
Arunachal Pradesh,Tirap,2016,0.0
Arunachal Pradesh,Tirap,2017,-0.21333334
Arunachal Pradesh,Tirap,2018,-0.93230009
Assam,Baksa,2005,0.20666666
Assam,Baksa,2006,0.31
Assam,Baksa,2007,0.83999997
Assam,Baksa,2014,0.78000003
Assam,Baksa,2015,-0.69999999
Assam,Baksa,2016,0.0
Assam,Baksa,2018,0.41667295
Assam,Barpeta,2005,0.72999996
Assam,Barpeta,2006,1.02
Assam,Barpeta,2007,0.22
Assam,Barpeta,2011,2.5
Assam,Barpeta,2012,2.6800001
Assam,Barpeta,2014,-0.18000001
Assam,Barpeta,2015,0.43333331
Assam,Barpeta,2016,0.0
Assam,Barpeta,2018,-0.045366213
Assam,Bongaigaon,2005,0.2
Assam,Bongaigaon,2006,0.73000002
Assam,Bongaigaon,2007,0.89199996
Assam,Bongaigaon,2010,0.20999999
Assam,Bongaigaon,2012,0.84000003
Assam,Bongaigaon,2013,0.1
Assam,Bongaigaon,2014,0.004999997
Assam,Bongaigaon,2015,0.56
Assam,Bongaigaon,2016,0.0
Assam,Bongaigaon,2018,-0.29064253
Assam,Cachar,2006,0.0
Assam,Cachar,2011,1.42
Assam,Cachar,2014,-2.266
Assam,Cachar,2015,-1.015
Assam,Cachar,2016,0.0
Assam,Cachar,2017,0.16571428
Assam,Cachar,2018,-2.0748661
Assam,Chirang,2006,0.54666668
Assam,Chirang,2015,-1.1666666
Assam,Chirang,2016,0.0
Assam,Darrang,2005,2.79
Assam,Darrang,2006,0.95500004
Assam,Darrang,2007,1.5650001
Assam,Darrang,2008,0.69000006
Assam,Darrang,2012,2.22
Assam,Darrang,2014,0.12500001
Assam,Darrang,2015,0.71333331
Assam,Darrang,2016,0.0
Assam,Darrang,2018,-0.71757138
Assam,Dhemaji,2005,0.33333334
Assam,Dhemaji,2006,0.61500001
Assam,Dhemaji,2007,2.9400001
Assam,Dhemaji,2008,1.1799999
Assam,Dhemaji,2009,0.62
Assam,Dhemaji,2010,0.28
Assam,Dhemaji,2013,0.28
Assam,Dhemaji,2014,-2.2175
Assam,Dhemaji,2015,-0.3475
Assam,Dhemaji,2016,0.0
Assam,Dhemaji,2017,7.6199999
Assam,Dhemaji,2018,0.0
Assam,Dhubri,2005,0.29333332
Assam,Dhubri,2006,0.47365472
Assam,Dhubri,2007,0.824
Assam,Dhubri,2010,0.45000002
Assam,Dhubri,2013,0.43000001
Assam,Dhubri,2014,1.3199999
Assam,Dhubri,2015,0.19500001
Assam,Dhubri,2016,0.0
Assam,Dhubri,2018,-0.19265012
Assam,Dibrugarh,2005,0.33200002
Assam,Dibrugarh,2007,0.47999999
Assam,Dibrugarh,2008,0.31
Assam,Dibrugarh,2010,0.80000001
Assam,Dibrugarh,2012,0.9666667
